#Saved Data from the class confocal_logic on 27.04.2022 at 10h29m51s.
#
#Parameters:
#===========
#
#X offset (m): 8.5453002805179635e-06
#X image range (m): 1.4999999999999999e-05
#Y offset (m): 2.0826631952603969e-05
#Y image range (m): 1.4999999999999999e-05
#XY resolution (samples per range): 100
#XY Image at z position (m): 3.3043312920193630e-07
#Clock frequency of scanner (Hz): 200
#Return Slowness (Steps during retrace line): 20
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr0 (Hz)	
7.733492e-06	1.402811e-05	3.621779e-07	3.800000e+03
7.885008e-06	1.402811e-05	3.621779e-07	9.400000e+03
8.036523e-06	1.402811e-05	3.621779e-07	8.400000e+03
8.188038e-06	1.402811e-05	3.621779e-07	6.200000e+03
8.339553e-06	1.402811e-05	3.621779e-07	6.400000e+03
8.491068e-06	1.402811e-05	3.621779e-07	6.400000e+03
8.642583e-06	1.402811e-05	3.621779e-07	6.800000e+03
8.794098e-06	1.402811e-05	3.621779e-07	6.600000e+03
8.945614e-06	1.402811e-05	3.621779e-07	7.800000e+03
9.097129e-06	1.402811e-05	3.621779e-07	5.200000e+03
9.248644e-06	1.402811e-05	3.621779e-07	7.400000e+03
9.400159e-06	1.402811e-05	3.621779e-07	6.600000e+03
9.551674e-06	1.402811e-05	3.621779e-07	6.600000e+03
9.703189e-06	1.402811e-05	3.621779e-07	5.800000e+03
9.854705e-06	1.402811e-05	3.621779e-07	6.800000e+03
1.000622e-05	1.402811e-05	3.621779e-07	4.400000e+03
1.015773e-05	1.402811e-05	3.621779e-07	4.200000e+03
1.030925e-05	1.402811e-05	3.621779e-07	5.800000e+03
1.046077e-05	1.402811e-05	3.621779e-07	6.200000e+03
1.061228e-05	1.402811e-05	3.621779e-07	7.800000e+03
1.076380e-05	1.402811e-05	3.621779e-07	6.800000e+03
1.091531e-05	1.402811e-05	3.621779e-07	8.600000e+03
1.106683e-05	1.402811e-05	3.621779e-07	7.800000e+03
1.121834e-05	1.402811e-05	3.621779e-07	7.800000e+03
1.136986e-05	1.402811e-05	3.621779e-07	7.200000e+03
1.152137e-05	1.402811e-05	3.621779e-07	5.800000e+03
1.167289e-05	1.402811e-05	3.621779e-07	4.600000e+03
1.182440e-05	1.402811e-05	3.621779e-07	3.000000e+03
1.197592e-05	1.402811e-05	3.621779e-07	2.200000e+03
